"ContractLocation","VendorFolder","Filename","FilePath","Extension","FileCreatedDate","DocType","HasSignedKeyword","SigningStatus","IsAmendment","AmendmentNumber","VersionLabel","DateInFilename","CounterpartyName","EffectiveDate","ExpirationDate","Notes"
"01 Active Contracts","Angelo's Steel Erectors","Angelos Steel Erectors Mutual NDA - signed.pdf","Angelo's Steel Erectors/Angelos Steel Erectors Mutual NDA - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Angelo's Steel Erectors","2026-01-14","",""
"01 Active Contracts","Applied Technologies Group","DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf","Applied Technologies Group/DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","8.21.2025","Applied Technologies Group","2026-01-14","",""
"01 Active Contracts","Applied Technology Group (ATG)","DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf","Applied Technology Group (ATG)/DCS Vendor Mutual NDA to ATG Applied Technology Group LLC - signed 8.21.2025.pdf",".pdf","2026-05-15","MNDA","True","Signed","False","","","8.21.2025","Applied Technology Group (ATG)","2026-05-15","",""
"01 Active Contracts","APTR","APTR DCS 2025 MSA - signed.pdf","APTR/APTR DCS 2025 MSA - signed.pdf",".pdf","2026-02-04","MSA","True","Signed","False","","","","APTR","2026-02-04","",""
"01 Active Contracts","ASG Services","ASG Services and DCS NDA Executed.pdf","ASG Services/ASG Services and DCS NDA Executed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","ASG Services","2026-01-14","",""
"01 Active Contracts","Ashland Conveyor Products","Mutual NDA- Ashland Conveyor - signed.pdf","Ashland Conveyor Products/Mutual NDA- Ashland Conveyor - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Ashland Conveyor Products","2026-01-14","",""
"01 Active Contracts","ASI 3D Imaging Services","DCS Vendor Mutual NDA to ASI 3D Imaging Services - signed 2.10.2025.pdf","ASI 3D Imaging Services/DCS Vendor Mutual NDA to ASI 3D Imaging Services - signed 2.10.2025.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","2.10.2025","ASI 3D Imaging Services","2026-01-14","",""
"01 Active Contracts","ASICS","2021.03.01_ASICS Mutual NDA_Template (AAC Final) DCS Fully Executed.pdf","ASICS/2021.03.01_ASICS Mutual NDA_Template (AAC Final) DCS Fully Executed.pdf",".pdf","2026-05-15","MNDA","True","Signed","False","","Final","","ASICS","2026-05-15","",""
"01 Active Contracts","Associated Packaging","Mutual NDA- Associated Packaging(Executed).pdf","Associated Packaging/Mutual NDA- Associated Packaging(Executed).pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Associated Packaging","2026-01-14","",""
"01 Active Contracts","Attabotics","NDA DCS to ATTABOTICS  signed 5.7.2024.pdf","Attabotics/NDA DCS to ATTABOTICS  signed 5.7.2024.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","5.7.2024","Attabotics","2026-01-14","",""
